2026-04-19 20:41:35 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:41:53 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:41:55 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | [DEBUG] record_sales called with 2 rows
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=123 700, caisse=123 700
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Header data refreshed: 18 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:42:03 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=123 700, caisse=123 700
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:42:03 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Header data refreshed: 18 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=123 700, caisse=123 700
2026-04-19 20:42:03 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=123 700, caisse=123 700
2026-04-19 20:42:14 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:42:15 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:42:42 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:42:44 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:42:46 | DEBUG    | controllers.main_controller    | [DEBUG] record_sales called with 2 rows
2026-04-19 20:42:46 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=129 700, caisse=129 700
2026-04-19 20:42:46 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:42:46 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
